"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"NUSA TENGGARA TIMUR","DETUKELI","WATUNGGERE MARILONGA",53,11,62,13,5311062013,0,0,66,0,328,328,328,328,"531106201399",121.841783997838,-8.58125285576436,"FloresBara",NA,4.96969696969697,"531106201399"
"NUSA TENGGARA TIMUR","MAUKARO","KOBALEBA",53,11,12,7,5311012007,0,0.02150537634,93,2,473,473,473,473,"531101200799",121.601898763862,-8.59237567057094,"FloresBara",NA,5.08602150537634,"531101200799"
"NUSA TENGGARA TIMUR","DETUSOKO","SIPIJENA",53,11,70,34,5311070034,0.76691729323,0.9649122807,114,110,529,529,529,529,"531107003499",121.7455491924,-8.71392448196018,"FloresBara",NA,4.64035087719298,"531107003499"
"NUSA TENGGARA TIMUR","MEGO","NAPU GERA",53,10,11,10,5310011010,0,0,128,0,627,627,627,627,"531001101099",121.990404834412,-8.62072071607961,"FloresBara",NA,4.8984375,"531001101099"
"NUSA TENGGARA TIMUR","PAGA","WOLOWIRO",53,10,10,1,5310010001,0.31891,0.875789,475,416,NA,2118,2187,2118,"531001000101",122.013111,-8.7811,"FloresBara",4162,4.60421052631579,"531001000101"
"NUSA TENGGARA TIMUR","PAGA","WOLOWIRO",53,10,10,1,5310010001,0.31891,0.875789,475,416,NA,69,2187,69,"531001000102",122.001325,-8.79571,"FloresBara",4168,4.60421052631579,"531001000102"
"NUSA TENGGARA TIMUR","PAGA","MAULOO",53,10,10,2,5310010002,0,0,173,0,NA,253,786,253,"531001000201",122.022544,-8.753134,"FloresBara",4164,4.54335260115607,"531001000201"
"NUSA TENGGARA TIMUR","PAGA","MAULOO",53,10,10,2,5310010002,0,0,173,0,NA,196,786,196,"531001000202",122.017815,-8.766943,"FloresBara",4163,4.54335260115607,"531001000202"
"NUSA TENGGARA TIMUR","PAGA","MAULOO",53,10,10,2,5310010002,0,0,173,0,NA,152,786,152,"531001000203",122.017573,-8.758203,"FloresBara",4165,4.54335260115607,"531001000203"
"NUSA TENGGARA TIMUR","PAGA","MAULOO",53,10,10,2,5310010002,0,0,173,0,NA,118,786,118,"531001000204",122.029105,-8.769703,"FloresBara",4166,4.54335260115607,"531001000204"
"NUSA TENGGARA TIMUR","PAGA","MAULOO",53,10,10,2,5310010002,0,0,173,0,NA,67,786,67,"531001000205",122.015956,-8.750871,"FloresBara",4171,4.54335260115607,"531001000205"
"NUSA TENGGARA TIMUR","PAGA","MBENGU",53,10,10,3,5310010003,0.28961,0.768535,553,425,NA,1662,2571,1662,"531001000301",122.034157,-8.782656,"FloresBara",4161,4.64918625678119,"531001000301"
"NUSA TENGGARA TIMUR","PAGA","MBENGU",53,10,10,3,5310010003,0.28961,0.768535,553,425,NA,841,2571,841,"531001000302",122.025657,-8.776816,"FloresBara",4159,4.64918625678119,"531001000302"
"NUSA TENGGARA TIMUR","PAGA","MBENGU",53,10,10,3,5310010003,0.28961,0.768535,553,425,NA,67,2571,67,"531001000303",122.027829,-8.781875,"FloresBara",4170,4.64918625678119,"531001000303"
"NUSA TENGGARA TIMUR","PAGA","PAGA",53,10,10,4,5310010004,0.605856,0.825647,889,734,NA,3330,4060,3330,"531001000401",122.046967,-8.77426,"FloresBara",4158,4.56692913385827,"531001000401"
"NUSA TENGGARA TIMUR","PAGA","PAGA",53,10,10,4,5310010004,0.605856,0.825647,889,734,NA,298,4060,298,"531001000402",122.037034,-8.76685,"FloresBara",4160,4.56692913385827,"531001000402"
"NUSA TENGGARA TIMUR","PAGA","PAGA",53,10,10,4,5310010004,0.605856,0.825647,889,734,NA,158,4060,158,"531001000403",122.060066,-8.737731,"FloresBara",4209,4.56692913385827,"531001000403"
"NUSA TENGGARA TIMUR","PAGA","PAGA",53,10,10,4,5310010004,0.605856,0.825647,889,734,NA,129,4060,129,"531001000404",122.060835,-8.743401,"FloresBara",4195,4.56692913385827,"531001000404"
"NUSA TENGGARA TIMUR","PAGA","PAGA",53,10,10,4,5310010004,0.605856,0.825647,889,734,NA,54,4060,54,"531001000405",122.058966,-8.73194,"FloresBara",4215,4.56692913385827,"531001000405"
"NUSA TENGGARA TIMUR","PAGA","PAGA",53,10,10,4,5310010004,0.605856,0.825647,889,734,NA,42,4060,42,"531001000406",122.050882,-8.744957,"FloresBara",4238,4.56692913385827,"531001000406"
"NUSA TENGGARA TIMUR","PAGA","PAGA",53,10,10,4,5310010004,0.605856,0.825647,889,734,NA,27,4060,27,"531001000407",122.049669,-8.743903,"FloresBara",4265,4.56692913385827,"531001000407"
"NUSA TENGGARA TIMUR","PAGA","PAGA",53,10,10,4,5310010004,0.605856,0.825647,889,734,NA,22,4060,22,"531001000408",122.058485,-8.736115,"FloresBara",4281,4.56692913385827,"531001000408"
"NUSA TENGGARA TIMUR","PAGA","LENANDARETA",53,10,10,8,5310010008,0,0,280,0,NA,229,1338,229,"531001000801",122.008868,-8.748209,"FloresBara",4190,4.77857142857143,"531001000801"
"NUSA TENGGARA TIMUR","PAGA","LENANDARETA",53,10,10,8,5310010008,0,0,280,0,NA,206,1338,206,"531001000802",122.056659,-8.717795,"FloresBara",4211,4.77857142857143,"531001000802"
"NUSA TENGGARA TIMUR","PAGA","LENANDARETA",53,10,10,8,5310010008,0,0,280,0,NA,114,1338,114,"531001000803",122.03536,-8.734557,"FloresBara",4203,4.77857142857143,"531001000803"
"NUSA TENGGARA TIMUR","PAGA","LENANDARETA",53,10,10,8,5310010008,0,0,280,0,NA,113,1338,113,"531001000804",122.059399,-8.71895,"FloresBara",4271,4.77857142857143,"531001000804"
"NUSA TENGGARA TIMUR","PAGA","LENANDARETA",53,10,10,8,5310010008,0,0,280,0,NA,102,1338,102,"531001000805",122.016906,-8.742561,"FloresBara",4244,4.77857142857143,"531001000805"
"NUSA TENGGARA TIMUR","PAGA","LENANDARETA",53,10,10,8,5310010008,0,0,280,0,NA,94,1338,94,"531001000806",122.039856,-8.741062,"FloresBara",4204,4.77857142857143,"531001000806"
"NUSA TENGGARA TIMUR","PAGA","LENANDARETA",53,10,10,8,5310010008,0,0,280,0,NA,89,1338,89,"531001000807",121.994038,-8.742197,"FloresBara",4002,4.77857142857143,"531001000807"
"NUSA TENGGARA TIMUR","PAGA","LENANDARETA",53,10,10,8,5310010008,0,0,280,0,NA,71,1338,71,"531001000808",122.002267,-8.744087,"FloresBara",4221,4.77857142857143,"531001000808"
"NUSA TENGGARA TIMUR","PAGA","LENANDARETA",53,10,10,8,5310010008,0,0,280,0,NA,65,1338,65,"531001000809",122.011151,-8.7452,"FloresBara",4222,4.77857142857143,"531001000809"
