FID,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,IDSP,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,NO_PLN,AREA_KM2,TOT_POP,TOT_HHOLD,POP_DEN,HHOLD_DEN,MID,PLN_GRID,X,Y,Longitude,Latitude
12,MALUKU,PP. KUR,YAPAS,81,72,010,007,8172010007,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010007,81,MALUKU,72,TUAL,10,PP. KUR,7,YAPAS,74,69,31,30,1,0.967742,1,4.81131,143,31,29.721635,6.443152,0.393959,0,14693129.3488,-597838.206586,131.990627,-5.362625
15,MALUKU,PULAU DULLAH UTARA,DULLAH DARAT,81,72,030,007,8172030007,TUAL,BADAN PUSAT STATISTIK,8172030,POLY,0,8172030007,81,MALUKU,72,TUAL,30,PULAU DULLAH UTARA,7,DULLAH DARAT,541,549,249,200,10,0.803213,49,3.952116,1090,249,275.801594,63.004217,0.125984,0,14780802.2643,-621114.841959,132.778206,-5.570772
16,MALUKU,PULAU DULLAH UTARA,LABETAWI,81,72,030,003,8172030003,TUAL,BADAN PUSAT STATISTIK,8172030,POLY,0,8172030003,81,MALUKU,72,TUAL,30,PULAU DULLAH UTARA,3,LABETAWI,409,354,154,121,10,0.785714,33,3.52277,763,154,216.590941,43.715603,0.151245,0,14781370.8664,-619704.419538,132.783314,-5.558161
17,MALUKU,PULAU DULLAH UTARA,NGADI,81,72,030,002,8172030002,TUAL,BADAN PUSAT STATISTIK,8172030,POLY,0,8172030002,81,MALUKU,72,TUAL,30,PULAU DULLAH UTARA,2,NGADI,815,688,276,210,15,0.76087,66,4.184393,1503,276,359.191869,65.959385,0.123129,0,14779927.5475,-622333.039783,132.770348,-5.581663
23,MALUKU,PP. KUR,KAIMEAR,81,72,010,004,8172010004,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010004,81,MALUKU,72,TUAL,10,PP. KUR,4,KAIMEAR,235,265,173,0,173,0,173,4.072727,500,173,122.767855,42.477678,0.153433,0,14696416.7799,-576104.397461,132.020158,-5.168211
25,MALUKU,PULAU DULLAH UTARA,DULLAH LAUT,81,72,030,008,8172030008,TUAL,BADAN PUSAT STATISTIK,8172030,POLY,0,8172030008,81,MALUKU,72,TUAL,30,PULAU DULLAH UTARA,8,DULLAH LAUT,932,997,321,0,301,0,321,20.923079,1929,321,92.194845,15.34191,0.255306,0,14775275.4598,-617470.054107,132.728558,-5.538184
79,MALUKU,AMBALAU,SELASI,81,09,050,002,8109050002,BURU SELATAN,BADAN PUSAT STATISTIK,8109050,POLY,0,8109050002,81,MALUKU,9,BURU SELATAN,50,AMBALAU,2,SELASI,290,320,190,48,47,0.252632,142,23.256484,610,190,26.229244,8.169764,0.349861,0,14171787.2614,-441446.475704,127.307331,-3.962419
80,MALUKU,AMBALAU,LUMOY,81,09,050,004,8109050004,BURU SELATAN,BADAN PUSAT STATISTIK,8109050,POLY,0,8109050004,81,MALUKU,9,BURU SELATAN,50,AMBALAU,4,LUMOY,591,626,333,62,108,0.186186,271,39.502454,1217,333,30.808212,8.429856,0.344421,0,14172721.5313,-435810.984166,127.315724,-3.911914
81,MALUKU,AMBALAU,SIWAR,81,09,050,001,8109050001,BURU SELATAN,BADAN PUSAT STATISTIK,8109050,POLY,0,8109050001,81,MALUKU,9,BURU SELATAN,50,AMBALAU,1,SIWAR,451,445,253,52,80,0.205534,201,16.399348,896,253,54.636319,15.427443,0.254597,0,14166626.5929,-442934.895025,127.260972,-3.975757
82,MALUKU,AMBALAU,ULIMA,81,09,050,006,8109050006,BURU SELATAN,BADAN PUSAT STATISTIK,8109050,POLY,0,8109050006,81,MALUKU,9,BURU SELATAN,50,AMBALAU,6,ULIMA,730,751,321,75,92,0.233645,246,33.466244,1481,321,44.253547,9.591755,0.322887,0,14162373.5525,-441872.309563,127.222766,-3.966235
83,MALUKU,AMBALAU,MASAWOY,81,09,050,005,8109050005,BURU SELATAN,BADAN PUSAT STATISTIK,8109050,POLY,0,8109050005,81,MALUKU,9,BURU SELATAN,50,AMBALAU,5,MASAWOY,461,424,182,110,16,0.604396,72,39.194689,885,182,22.57959,4.643486,0.464064,0,14166679.575,-437350.14751,127.261448,-3.925708
84,MALUKU,AMBALAU,ELARA,81,09,050,003,8109050003,BURU SELATAN,BADAN PUSAT STATISTIK,8109050,POLY,0,8109050003,81,MALUKU,9,BURU SELATAN,50,AMBALAU,3,ELARA,710,747,430,72,233,0.167442,358,27.457969,1457,430,53.062919,15.660299,0.252697,0,14176949.2795,-438668.484112,127.353702,-3.937523
85,MALUKU,AMBALAU,KAMPUNG BARU,81,09,050,007,8109050007,BURU SELATAN,BADAN PUSAT STATISTIK,8109050,POLY,0,8109050007,81,MALUKU,9,BURU SELATAN,50,AMBALAU,7,KAMPUNG BARU,713,698,285,47,98,0.164912,238,24.765994,1411,285,56.973284,11.507715,0.294785,0,14158807.6371,-445642.299947,127.190733,-4.00002
87,MALUKU,WAISAMA,WAESILI,81,09,040,006,8109040006,BURU SELATAN,BADAN PUSAT STATISTIK,8109040,POLY,0,8109040006,81,MALUKU,9,BURU SELATAN,40,WAISAMA,6,WAESILI,611,587,322,100,222,0.310559,222,25.611239,1198,322,46.776338,12.572605,0.282025,0,14156947.58,-405040.566693,127.174024,-3.636098
91,MALUKU,WAISAMA,WAETAWA,81,09,040,007,8109040007,BURU SELATAN,BADAN PUSAT STATISTIK,8109040,POLY,0,8109040007,81,MALUKU,9,BURU SELATAN,40,WAISAMA,7,WAETAWA,494,437,203,103,100,0.507389,100,25.099741,931,203,37.092016,8.087733,0.351631,0,14160535.7179,-405712.594188,127.206257,-3.642123
134,MALUKU,PP. TERSELATAN,LEBELAU,81,08,020,009,8108020009,MALUKU BARAT DAYA,BADAN PUSAT STATISTIK,8108020,POLY,0,8108020009,81,MALUKU,8,MALUKU BARAT DAYA,20,PP. TERSELATAN,9,LEBELAU,984,938,379,170,19,0.448549,209,6.938429,1922,379,277.007951,54.623316,0.135304,0,14158542.2195,-889464.674303,127.188349,-7.964424
153,MALUKU,PP. WETAR,USTUTUN,81,08,010,001,8108010001,MALUKU BARAT DAYA,BADAN PUSAT STATISTIK,8108010,POLY,0,8108010001,81,MALUKU,8,MALUKU BARAT DAYA,10,PP. WETAR,1,USTUTUN,467,517,200,0,10,0,200,27.182922,984,200,36.199199,7.357561,0.368666,0,13997059.5799,-893329.282267,125.737726,-7.998804
154,MALUKU,PP. WETAR,KARBUBU,81,08,010,002,8108010002,MALUKU BARAT DAYA,BADAN PUSAT STATISTIK,8108010,POLY,0,8108010002,81,MALUKU,8,MALUKU BARAT DAYA,10,PP. WETAR,2,KARBUBU,156,151,80,0,6,0,80,78.640265,307,80,3.903853,1.017291,0.991465,0,14011328.0891,-885716.154304,125.865902,-7.931074
156,MALUKU,PP. WETAR,ILMAMAU,81,08,010,004,8108010004,MALUKU BARAT DAYA,BADAN PUSAT STATISTIK,8108010,POLY,0,8108010004,81,MALUKU,8,MALUKU BARAT DAYA,10,PP. WETAR,4,ILMAMAU,178,110,70,0,5,0,70,67.79836,288,70,4.24789,1.032473,0.984148,0,14013751.3696,-871802.442706,125.88767,-7.807262
