PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,IDSP,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,JOIN_FIELD,population,PCT_PLN,NUM_HHOLDS,NUM_PLN,PLN_Cabang,EI_SubArea
MALUKU,PULAU DULLAH SELATAN,KEL. LODAR EL,81,72,040,005,8172040005,TUAL,BADAN PUSAT STATISTIK,8172040,POLY,0,8172040005,       81.000000,MALUKU,       72.000000,TUAL,       40.000000,PULAU DULLAH SELATAN,        5.000000,KEL. LODAR EL,     3402.000000,     3528.000000,     1641.000000,     1177.000000,       12.000000,      0.71724558196,-214748364,     7199.000000,      0.79941219691,1361,1088,Cabang Tual,Tual
MALUKU,PULAU DULLAH UTARA,DULLAH DARAT,81,72,030,007,8172030007,TUAL,BADAN PUSAT STATISTIK,8172030,POLY,0,8172030007,       81.000000,MALUKU,       72.000000,TUAL,       30.000000,PULAU DULLAH UTARA,        7.000000,DULLAH DARAT,      541.000000,      549.000000,      249.000000,      200.000000,       10.000000,      0.80321285141,-214748364,     1031.000000,      0.71428571429,210,150,Cabang Tual,Tual
MALUKU,PULAU DULLAH UTARA,LABETAWI,81,72,030,003,8172030003,TUAL,BADAN PUSAT STATISTIK,8172030,POLY,0,8172030003,       81.000000,MALUKU,       72.000000,TUAL,       30.000000,PULAU DULLAH UTARA,        3.000000,LABETAWI,      409.000000,      354.000000,      154.000000,      121.000000,       10.000000,      0.78571428571,-214748364,      694.000000,      0.77622377622,143,111,Cabang Tual,Tual
MALUKU,PULAU DULLAH UTARA,NGADI,81,72,030,002,8172030002,TUAL,BADAN PUSAT STATISTIK,8172030,POLY,0,8172030002,       81.000000,MALUKU,       72.000000,TUAL,       30.000000,PULAU DULLAH UTARA,        2.000000,NGADI,      815.000000,      688.000000,      276.000000,      210.000000,       15.000000,      0.76086956522,-214748364,     1367.000000,      0.78440366972,218,171,Cabang Tual,Tual
MALUKU,PULAU DULLAH UTARA,OHOITAHIT,81,72,030,005,8172030005,TUAL,BADAN PUSAT STATISTIK,8172030,POLY,0,8172030005,       81.000000,MALUKU,       72.000000,TUAL,       30.000000,PULAU DULLAH UTARA,        5.000000,OHOITAHIT,      733.000000,      721.000000,      321.000000,       80.000000,        5.000000,      0.24922118380,-214748364,     1323.000000,      0.88646288210,229,203,Cabang Tual,Tual
MALUKU,PULAU DULLAH UTARA,OHOITEL,81,72,030,006,8172030006,TUAL,BADAN PUSAT STATISTIK,8172030,POLY,0,8172030006,       81.000000,MALUKU,       72.000000,TUAL,       30.000000,PULAU DULLAH UTARA,        6.000000,OHOITEL,     1487.000000,     1619.000000,      708.000000,      300.000000,       20.000000,      0.42372881356,-214748364,     2824.000000,      0.68926553672,531,366,Cabang Tual,Tual
MALUKU,PULAU DULLAH UTARA,TAMEDAN,81,72,030,004,8172030004,TUAL,BADAN PUSAT STATISTIK,8172030,POLY,0,8172030004,       81.000000,MALUKU,       72.000000,TUAL,       30.000000,PULAU DULLAH UTARA,        4.000000,TAMEDAN,      665.000000,      701.000000,      302.000000,      200.000000,       10.000000,      0.66225165563,-214748364,     1243.000000,      0.68821292776,263,181,Cabang Tual,Tual
MALUKU,TAYANDO TAM,TAYANDO OHOIEL,81,72,020,002,8172020002,TUAL,BADAN PUSAT STATISTIK,8172020,POLY,0,8172020002,       81.000000,MALUKU,       72.000000,TUAL,       20.000000,TAYANDO TAM,        2.000000,TAYANDO OHOIEL,      550.000000,      591.000000,      270.000000,        0.000000,       30.000000,      0.00000000000,-214748364,     1040.000000,      0.00000000000,191,0,Cabang Tual,Tual
MALUKU,TAYANDO TAM,TAYANDO YAMTEL,81,72,020,004,8172020004,TUAL,BADAN PUSAT STATISTIK,8172020,POLY,0,8172020004,       81.000000,MALUKU,       72.000000,TUAL,       20.000000,TAYANDO TAM,        4.000000,TAYANDO YAMTEL,     1094.000000,     1163.000000,      520.000000,        0.000000,       57.000000,      0.00000000000,-214748364,     2160.000000,      0.00536193029,373,2,Cabang Tual,Tual
MALUKU,PP. KUR,KAIMEAR,81,72,010,004,8172010004,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010004,       81.000000,MALUKU,       72.000000,TUAL,       10.000000,PP. KUR,        4.000000,KAIMEAR,      235.000000,      265.000000,      173.000000,        0.000000,      173.000000,      0.00000000000,-214748364,      481.000000,      0.01123595506,89,1,Cabang Tual,Tual
MALUKU,PP. KUR,MANGUR NIELA,81,72,010,010,8172010010,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010010,       81.000000,MALUKU,       72.000000,TUAL,       10.000000,PP. KUR,       10.000000,MANGUR NIELA,      219.000000,      236.000000,      124.000000,        0.000000,       13.000000,      0.00000000000,-214748364,      421.000000,      0.02380952381,84,2,Cabang Tual,Tual
MALUKU,PULAU DULLAH SELATAN,TAAR,81,72,040,001,8172040001,TUAL,BADAN PUSAT STATISTIK,8172040,POLY,0,8172040001,       81.000000,MALUKU,       72.000000,TUAL,       40.000000,PULAU DULLAH SELATAN,        1.000000,TAAR,     2676.000000,     2731.000000,     1338.000000,     1314.000000,       24.000000,      0.98206278027,-214748364,     5354.000000,      0.82972440945,1016,843,Cabang Tual,Tual
MALUKU,PULAU DULLAH UTARA,DULLAH LAUT,81,72,030,008,8172030008,TUAL,BADAN PUSAT STATISTIK,8172030,POLY,0,8172030008,       81.000000,MALUKU,       72.000000,TUAL,       30.000000,PULAU DULLAH UTARA,        8.000000,DULLAH LAUT,      932.000000,      997.000000,      321.000000,        0.000000,      301.000000,      0.00000000000,-214748364,     1755.000000,      0.00332225914,301,1,Cabang Tual,Tual
MALUKU,PULAU DULLAH UTARA,FIDITAN,81,72,030,001,8172030001,TUAL,BADAN PUSAT STATISTIK,8172030,POLY,0,8172030001,       81.000000,MALUKU,       72.000000,TUAL,       30.000000,PULAU DULLAH UTARA,        1.000000,FIDITAN,     2334.000000,     2425.000000,     1009.000000,      761.000000,       20.000000,      0.75421209118,-214748364,     4327.000000,      0.75979112272,766,582,Cabang Tual,Tual
MALUKU,PULAU DULLAH SELATAN,TUAL,81,72,040,003,8172040003,TUAL,BADAN PUSAT STATISTIK,8172040,POLY,0,8172040003,       81.000000,MALUKU,       72.000000,TUAL,       40.000000,PULAU DULLAH SELATAN,        3.000000,TUAL,     5471.000000,     5535.000000,     2751.000000,     1724.000000,      110.000000,      0.62668120683,-214748364,    10527.000000,      0.82508073197,1858,1533,Cabang Tual,Tual
MALUKU,SIRIMAU,SOYA,81,71,020,006,8171020006,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020006,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,        6.000000,SOYA,     4325.000000,     4394.000000,     1778.000000,     1625.000000,      153.000000,      0.91394825647,-214748364,     8688.000000,      0.89936009308,1719,1546,AMBON,Ambon&Sera
MALUKU,SIRIMAU,WAIHOKA,81,71,020,007,8171020007,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020007,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,        7.000000,WAIHOKA,     2832.000000,     3065.000000,     1474.000000,     1135.000000,      335.000000,      0.77001356852,-214748364,     4806.000000,      0.93510638298,940,879,AMBON,Ambon&Sera
MALUKU,SIRIMAU,KEL KARANG PANJANG,81,71,020,008,8171020008,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020008,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,        8.000000,KEL KARANG PANJANG,     3339.000000,     3522.000000,     1476.000000,     1251.000000,      225.000000,      0.84756097561,-214748364,     6555.000000,      0.94618181818,1375,1301,AMBON,Ambon&Sera
MALUKU,SIRIMAU,KEL BATU MEJA,81,71,020,009,8171020009,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020009,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,        9.000000,KEL BATU MEJA,     5104.000000,     5241.000000,     2480.000000,     2094.000000,      386.000000,      0.84435483871,-214748364,     9863.000000,      0.96852189781,2192,2123,AMBON,Ambon&Sera
MALUKU,SIRIMAU,KEL BATU GAJA,81,71,020,010,8171020010,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020010,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,       10.000000,KEL BATU GAJAH,     3271.000000,     3567.000000,     1652.000000,     1592.000000,       60.000000,      0.96368038741,-214748364,     6908.000000,      0.92081289418,1427,1314,AMBON,Ambon&Sera
MALUKU,SIRIMAU,KEL AHUSEN,81,71,020,011,8171020011,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020011,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,       11.000000,KEL AHUSEN,     1545.000000,     1709.000000,      824.000000,      797.000000,       27.000000,      0.96723300971,-214748364,     3199.000000,      0.97946859903,828,811,AMBON,Ambon&Sera
MALUKU,SIRIMAU,KEL HONIPOPU,81,71,020,012,8171020012,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020012,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,       12.000000,KEL HONIPOPU,     1813.000000,     1719.000000,      810.000000,      729.000000,       81.000000,      0.90000000000,-214748364,     6279.000000,      0.94613887086,1541,1458,AMBON,Ambon&Sera
