PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,JOIN_FIELD,population,PCT_PLN,NUM_HHOLDS,NUM_PLN,PLN_Cabang,EI_SubArea
MALUKU UTARA,MAKIAN BARAT,TALAPAO,82,04,071,005,8204071005,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204071,POLY,8204071005,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       71.000000,MAKIAN BARAT,        5.000000,TALAPAO,      294.000000,      281.000000,      150.000000,        0.000000,      126.000000,      0.00000000000,-214748364,532,      0.00000000000,95,0,Ternate,Halmahera
MALUKU UTARA,PULAU MAKIAN,MATANGTENGIN,82,04,070,009,8204070009,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204070,POLY,8204070009,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       70.000000,PULAU MAKIAN,        9.000000,MATANGTENGIN,      369.000000,      370.000000,      178.000000,        0.000000,      132.000000,      0.00000000000,-214748364,739,      0.00000000000,128,0,Ternate,Halmahera
MALUKU UTARA,PULAU MAKIAN,KYOWOR,82,04,070,010,8204070010,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204070,POLY,8204070010,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       70.000000,PULAU MAKIAN,       10.000000,KYOWOR,      336.000000,      317.000000,      187.000000,        0.000000,      111.000000,      0.00000000000,-214748364,653,      0.00000000000,122,0,Ternate,Halmahera
MALUKU UTARA,MAKIAN BARAT,SEBELEI,82,04,071,004,8204071004,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204071,POLY,8204071004,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       71.000000,MAKIAN BARAT,        4.000000,SEBELEI,      450.000000,      434.000000,      301.000000,        0.000000,      273.000000,      0.00000000000,-214748364,884,      0.00000000000,191,0,Ternate,Halmahera
MALUKU UTARA,PULAU MAKIAN,GITANG,82,04,070,018,8204070018,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204070,POLY,8204070018,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       70.000000,PULAU MAKIAN,       18.000000,GITANG,      257.000000,      258.000000,      131.000000,        0.000000,      125.000000,      0.00000000000,-214748364,515,      0.00000000000,110,0,Ternate,Halmahera
MALUKU UTARA,PULAU MAKIAN,WALO,82,04,070,020,8204070020,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204070,POLY,8204070020,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       70.000000,PULAU MAKIAN,       20.000000,WALO,      137.000000,      120.000000,       73.000000,        0.000000,       72.000000,      0.00000000000,-214748364,257,      0.00000000000,55,0,Ternate,Halmahera
MALUKU UTARA,PULAU MAKIAN,GORUP,82,04,070,021,8204070021,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204070,POLY,8204070021,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       70.000000,PULAU MAKIAN,       21.000000,GORUP,      186.000000,      165.000000,       81.000000,        0.000000,       72.000000,      0.00000000000,-214748364,351,      0.00000000000,72,0,Ternate,Halmahera
MALUKU UTARA,PULAU MAKIAN,KOTA,82,04,070,022,8204070022,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204070,POLY,8204070022,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       70.000000,PULAU MAKIAN,       22.000000,KOTA,      177.000000,      160.000000,       82.000000,        0.000000,       70.000000,      0.00000000000,-214748364,317,      0.00000000000,67,0,Ternate,Halmahera
MALUKU UTARA,PULAU MAKIAN,WAIGITANG,82,04,070,012,8204070012,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204070,POLY,8204070012,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       70.000000,PULAU MAKIAN,       12.000000,WAIGITANG,      322.000000,      337.000000,      170.000000,        0.000000,      160.000000,      0.00000000000,-214748364,659,      0.00000000000,153,0,Ternate,Halmahera
MALUKU UTARA,PULAU MAKIAN,RABUTDAIO,82,04,070,011,8204070011,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204070,POLY,8204070011,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       70.000000,PULAU MAKIAN,       11.000000,RABUTDAIO,      422.000000,      414.000000,      190.000000,        0.000000,      165.000000,      0.00000000000,-214748364,786,      0.00000000000,168,0,Ternate,Halmahera
