FID,KODE_UNSUR,PELAKSANA,TOPONIM,UPDATED,F_AREA,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,TOT_POP,PCT_PLN,NUM_HHOLDS,NUM_PLN,CLUSTAREA,CLUSTRATIO,CLUSTPOP,Sum_CLUSTA,Longitude,Latitude,X,Y
76,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,27814.59591,MALUKU UTARA,MANGOLI TIMUR,NAFLOW,82,3,30,9,8203030009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,197,184,96,82,14,0.854167,381,0.694444,72,50,0.027815,0.21169,81,0.131393,126.033108,-1.884617,837486,9791398
77,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,43527.48424,MALUKU UTARA,MANGOLI TIMUR,NAFLOW,82,3,30,9,8203030009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,197,184,96,82,14,0.854167,381,0.694444,72,50,0.043527,0.331277,126,0.131393,126.03435,-1.870847,837627,9792922
78,50102,"EKSA ANUGRAH MANDIRI, PT.",KARAMAT,20070813,179601.966,MALUKU UTARA,MANGOLI TIMUR,KARAMAT TITDOY,82,3,30,10,8203030010,KEPULAUAN SULA,BADAN PUSAT STATISTIK,214,207,80,68,12,0.85,421,0.8,70,56,0.179602,1,421,0.179602,125.962402,-1.917301,829605,9787795
79,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,68416.63845,MALUKU UTARA,MANGOLI TENGAH,BARU AKOL,82,3,31,1,8203031001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,365,300,171,0,171,0,667,0,149,0,0.068417,1,667,0.068417,125.766703,-1.919889,807813,9787545
80,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,320989.5898,MALUKU UTARA,MANGOLI TENGAH,CAPALULU,82,3,31,2,8203031002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,687,683,330,283,47,0.857576,1366,0.851064,282,240,0.32099,1,1366,0.32099,125.874846,-1.909412,819857,9788684
81,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,98392.6868,MALUKU UTARA,MANGOLI TENGAH,ORIFOLA,82,3,31,3,8203031003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,211,170,127,72,55,0.566929,376,0.96,75,72,0.098393,0.688547,259,0.142899,125.895169,-1.925986,822117,9786846
82,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,34638.03255,MALUKU UTARA,MANGOLI TENGAH,ORIFOLA,82,3,31,3,8203031003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,211,170,127,72,55,0.566929,376,0.96,75,72,0.034638,0.242395,91,0.142899,125.890107,-1.9224,821554,9787244
83,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,9868.19615,MALUKU UTARA,MANGOLI TENGAH,ORIFOLA,82,3,31,3,8203031003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,211,170,127,72,55,0.566929,376,0.96,75,72,0.009868,0.069057,26,0.142899,125.887304,-1.920739,821242,9787428
84,50102,"EKSA ANUGRAH MANDIRI, PT.",SAFAKO,20070813,89256.3162,MALUKU UTARA,MANGOLI TENGAH,WAILOBA,82,3,31,4,8203031004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,344,295,174,0,30,0,639,0,128,0,0.089256,0.347141,222,0.257118,125.812653,-1.823382,812947,9798216
85,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,122311.2471,MALUKU UTARA,MANGOLI TENGAH,WAILOBA,82,3,31,4,8203031004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,344,295,174,0,30,0,639,0,128,0,0.122311,0.4757,304,0.257118,125.870094,-1.809217,819346,9799774
86,50102,"EKSA ANUGRAH MANDIRI, PT.",BANTALA,20070813,45550.8794,MALUKU UTARA,MANGOLI TENGAH,WAILOBA,82,3,31,4,8203031004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,344,295,174,0,30,0,639,0,128,0,0.045551,0.177159,113,0.257118,125.949087,-1.798491,828145,9800947
87,50102,"EKSA ANUGRAH MANDIRI, PT.",MANGOLI,20070813,492611.6213,MALUKU UTARA,MANGOLI TENGAH,MANGOLI,82,3,31,5,8203031005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1193,1169,1181,340,92,0.287892,2362,0.917808,438,402,0.492612,0.874366,2065,0.563393,125.936091,-1.92674,826674,9786755
88,50102,"EKSA ANUGRAH MANDIRI, PT.",JERI,20070813,70781.34155,MALUKU UTARA,MANGOLI TENGAH,MANGOLI,82,3,31,5,8203031005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1193,1169,1181,340,92,0.287892,2362,0.917808,438,402,0.070781,0.125634,297,0.563393,125.947425,-1.919842,827937,9787516
89,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,82387.4447,MALUKU UTARA,MANGOLI TENGAH,WAITULIA,82,3,31,6,8203031006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,210,203,98,59,39,0.602041,404,0.75641,78,59,0.082387,1,404,0.082387,125.903871,-1.934608,823084,9785890
90,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,9868.19615,MALUKU UTARA,MANGOLI TENGAH,WAI U,82,3,31,7,8203031007,KEPULAUAN SULA,BADAN PUSAT STATISTIK,144,149,65,60,5,0.923077,285,0.836066,61,51,0.009868,0.029826,9,0.330858,125.886498,-1.919974,821152,9787513
91,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,320989.5898,MALUKU UTARA,MANGOLI TENGAH,WAI U,82,3,31,7,8203031007,KEPULAUAN SULA,BADAN PUSAT STATISTIK,144,149,65,60,5,0.923077,285,0.836066,61,51,0.32099,0.970174,276,0.330858,125.880649,-1.913417,820502,9788240
92,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,32291.71465,MALUKU UTARA,MANGOLI TENGAH,PASLAL,82,3,31,8,8203031008,KEPULAUAN SULA,BADAN PUSAT STATISTIK,142,140,86,0,36,0,282,0,62,0,0.032292,1,282,0.032292,125.804672,-1.909581,812043,9788678
93,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,156138.1673,MALUKU UTARA,MANGOLI UTARA TIMUR,KAWATA,82,3,32,1,8203032001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,775,766,343,129,0,0.376093,1541,0.670498,261,175,0.156138,0.820357,1264,0.19033,126.164305,-1.883743,852099,9791469
94,50102,"EKSA ANUGRAH MANDIRI, PT.",BANUA,20070813,34191.46455,MALUKU UTARA,MANGOLI UTARA TIMUR,KAWATA,82,3,32,1,8203032001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,775,766,343,129,0,0.376093,1541,0.670498,261,175,0.034191,0.179643,277,0.19033,126.208502,-1.815756,857035,9798987
95,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,95334.61136,MALUKU UTARA,MANGOLI UTARA TIMUR,PELITA JAYA,82,3,32,2,8203032002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,193,212,154,90,0,0.584416,401,0,75,0,0.095335,1,401,0.095335,126.207432,-1.866336,856906,9793388
96,50102,"EKSA ANUGRAH MANDIRI, PT.",WAISAKAI,20070813,181479.7554,MALUKU UTARA,MANGOLI UTARA TIMUR,WAISAKAI,82,3,32,3,8203032003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,766,721,302,0,302,0,1487,0.004132,242,1,0.18148,0.730326,1086,0.248491,126.260597,-1.866913,862828,9793313
97,50102,"EKSA ANUGRAH MANDIRI, PT.",PANCORAN,20070813,32925.12522,MALUKU UTARA,MANGOLI UTARA TIMUR,WAISAKAI,82,3,32,3,8203032003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,766,721,302,0,302,0,1487,0.004132,242,1,0.032925,0.1325,197,0.248491,126.291887,-1.826565,866322,9797773
98,50102,"EKSA ANUGRAH MANDIRI, PT.",KUMKAHI,20070813,34086.61525,MALUKU UTARA,MANGOLI UTARA TIMUR,WAISAKAI,82,3,32,3,8203032003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,766,721,302,0,302,0,1487,0.004132,242,1,0.034087,0.137174,204,0.248491,126.276214,-1.821896,864577,9798293
99,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,129939.6267,MALUKU UTARA,MANGOLI UTARA TIMUR,WAISUM,82,3,32,4,8203032004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,178,167,120,0,89,0,348,0,56,0,0.12994,1,348,0.12994,126.481016,-1.828733,887393,9797493
100,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,16878.0067,MALUKU UTARA,MANGOLI BARAT,PAS IPA,82,3,40,1,8203040001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,612,618,323,0,300,0,1306,0.027491,291,8,0.016878,0.577408,754,0.029231,125.379373,-1.882638,764699,9791731
101,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,12352.62345,MALUKU UTARA,MANGOLI BARAT,PAS IPA,82,3,40,1,8203040001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,612,618,323,0,300,0,1306,0.027491,291,8,0.012353,0.422592,552,0.029231,125.376721,-1.881921,764404,9791810
102,50102,"EKSA ANUGRAH MANDIRI, PT.",DOFA,20070813,106056.7115,MALUKU UTARA,MANGOLI BARAT,DOFA,82,3,40,2,8203040002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,986,1117,560,440,20,0.785714,2124,0.8361,482,403,0.106057,1,2124,0.106057,125.354352,-1.806076,761925,9800204
103,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,59996.5421,MALUKU UTARA,MANGOLI BARAT,LEKO KADAI,82,3,40,3,8203040003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,795,665,351,238,95,0.678063,1519,0.588235,391,230,0.059997,1,1519,0.059997,125.409467,-1.784736,768064,9802557
104,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,88235.34535,MALUKU UTARA,MANGOLI BARAT,LEKOSULA,82,3,40,4,8203040004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,395,392,315,130,32,0.412698,796,0.785714,182,143,0.088235,1,796,0.088235,125.453147,-1.795195,772925,9801393
105,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,33820.14865,MALUKU UTARA,MANGOLI BARAT,PELITA,82,3,40,15,8203040015,KEPULAUAN SULA,BADAN PUSAT STATISTIK,616,548,295,207,83,0.701695,1122,0.842324,241,203,0.03382,1,1122,0.03382,125.3301,-1.839113,759221,9796553
106,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,102286.3308,MALUKU UTARA,MANGOLI BARAT,JOHOR,82,3,40,16,8203040016,KEPULAUAN SULA,BADAN PUSAT STATISTIK,44,39,44,0,42,0,83,0,15,0,0.102286,0.47792,40,0.214024,125.365779,-1.860787,763189,9794150
107,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,111737.6912,MALUKU UTARA,MANGOLI BARAT,JOHOR,82,3,40,16,8203040016,KEPULAUAN SULA,BADAN PUSAT STATISTIK,44,39,44,0,42,0,83,0,15,0,0.111738,0.52208,43,0.214024,125.372268,-1.845726,763914,9795815
108,50102,"EKSA ANUGRAH MANDIRI, PT.",FALABISAHAYA,20070813,1054369.383,MALUKU UTARA,MANGOLI UTARA,FALABISAHAYA,82,3,41,1,8203041001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,3478,3396,3405,1198,1207,0.351836,6880,0.75106,1651,1240,1.054369,1,6880,1.054369,125.478671,-1.792136,775766,9801728
109,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,51973.5776,MALUKU UTARA,MANGOLI UTARA,MADAPUHI,82,3,41,2,8203041002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,189,171,103,0,34,0,362,0,84,0,0.051974,1,362,0.051974,125.583322,-1.811336,787414,9799587
110,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,362.7335,MALUKU UTARA,MANGOLI UTARA,PASTABULU,82,3,41,3,8203041003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,538,511,243,0,58,0,1078,0,253,0,0.000363,0.017323,19,0.020939,125.510781,-1.779039,779343,9803172
111,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,8494.70145,MALUKU UTARA,MANGOLI UTARA,PASTABULU,82,3,41,3,8203041003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,538,511,243,0,58,0,1078,0,253,0,0.008495,0.405685,437,0.020939,125.513554,-1.779117,779652,9803163
112,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,10620.34574,MALUKU UTARA,MANGOLI UTARA,PASTABULU,82,3,41,3,8203041003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,538,511,243,0,58,0,1078,0,253,0,0.01062,0.507201,547,0.020939,125.50932,-1.779199,779180,9803155
113,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,640.0059,MALUKU UTARA,MANGOLI UTARA,PASTABULU,82,3,41,3,8203041003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,538,511,243,0,58,0,1078,0,253,0,0.00064,0.030565,33,0.020939,125.508564,-1.778676,779096,9803212
114,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,364.3193,MALUKU UTARA,MANGOLI UTARA,PASTABULU,82,3,41,3,8203041003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,538,511,243,0,58,0,1078,0,253,0,0.000364,0.017399,19,0.020939,125.510579,-1.778611,779321,9803219
115,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,457.04005,MALUKU UTARA,MANGOLI UTARA,PASTABULU,82,3,41,3,8203041003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,538,511,243,0,58,0,1078,0,253,0,0.000457,0.021827,24,0.020939,125.510177,-1.778512,779276,9803230
116,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,41232.23645,MALUKU UTARA,MANGOLI UTARA,MODAPIA,82,3,41,4,8203041004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,260,237,134,0,120,0,497,0,123,0,0.041232,0.443735,221,0.092921,125.681346,-1.828103,798325,9797716
117,50102,"EKSA ANUGRAH MANDIRI, PT.",BINONO,20070813,51688.59065,MALUKU UTARA,MANGOLI UTARA,MODAPIA,82,3,41,4,8203041004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,260,237,134,0,120,0,497,0,123,0,0.051689,0.556265,276,0.092921,125.732701,-1.821017,804044,9798492
118,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,894.1522,MALUKU UTARA,MANGOLI UTARA,MINALULI,82,3,41,5,8203041005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,260,197,116,0,27,0,464,0,109,0,0.000894,1,464,0.000894,125.526011,-1.806527,781034,9800128
119,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,22158.36081,MALUKU UTARA,MANGOLI UTARA,SANIAHAYA,82,3,41,6,8203041006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,243,231,105,0,45,0,476,0,104,0,0.022158,1,476,0.022158,125.608997,-1.822223,790271,9798379
120,50102,"EKSA ANUGRAH MANDIRI, PT.",BUYA,20070813,32923.10735,MALUKU UTARA,MANGOLI SELATAN,BUYA,82,3,42,2,8203042002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,702,610,327,0,100,0,1356,0,280,0,0.032923,0.977969,1326,0.033665,125.582451,-1.928746,787298,9786597
121,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,741.65875,MALUKU UTARA,MANGOLI SELATAN,BUYA,82,3,42,2,8203042002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,702,610,327,0,100,0,1356,0,280,0,0.000742,0.022031,30,0.033665,125.58182,-1.928059,787228,9786673
122,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,1874.56495,MALUKU UTARA,MANGOLI SELATAN,WAI KAFIA,82,3,42,4,8203042004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,460,495,210,0,21,0,955,0,194,0,0.001875,0.111814,107,0.016765,125.664321,-1.930689,796412,9786368
123,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,5771.86485,MALUKU UTARA,MANGOLI SELATAN,WAI KAFIA,82,3,42,4,8203042004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,460,495,210,0,21,0,955,0,194,0,0.005772,0.344279,329,0.016765,125.66296,-1.930765,796261,9786360
124,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,8445.65595,MALUKU UTARA,MANGOLI SELATAN,WAI KAFIA,82,3,42,4,8203042004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,460,495,210,0,21,0,955,0,194,0,0.008446,0.503764,481,0.016765,125.660418,-1.930482,795978,9786391
125,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,673.015,MALUKU UTARA,MANGOLI SELATAN,WAI KAFIA,82,3,42,4,8203042004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,460,495,210,0,21,0,955,0,194,0,0.000673,0.040144,38,0.016765,125.664861,-1.930152,796473,9786427
126,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,331.87305,MALUKU UTARA,MANGOLI SELATAN,KAPORO,82,3,42,5,8203042005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,376,322,140,0,32,0,678,0.007937,126,1,0.000332,0.078411,53,0.004232,125.705704,-1.929038,801020,9786543
127,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,1160.8878,MALUKU UTARA,MANGOLI SELATAN,KAPORO,82,3,42,5,8203042005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,376,322,140,0,32,0,678,0.007937,126,1,0.001161,0.274282,186,0.004232,125.706702,-1.929002,801131,9786547
128,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,1004.5934,MALUKU UTARA,MANGOLI SELATAN,KAPORO,82,3,42,5,8203042005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,376,322,140,0,32,0,678,0.007937,126,1,0.001005,0.237354,161,0.004232,125.704492,-1.928915,800885,9786557
129,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,592.91025,MALUKU UTARA,MANGOLI SELATAN,KAPORO,82,3,42,5,8203042005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,376,322,140,0,32,0,678,0.007937,126,1,0.000593,0.140086,95,0.004232,125.712029,-1.928673,801724,9786582
130,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,1142.20165,MALUKU UTARA,MANGOLI SELATAN,KAPORO,82,3,42,5,8203042005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,376,322,140,0,32,0,678,0.007937,126,1,0.001142,0.269867,183,0.004232,125.704843,-1.928774,800924,9786573
131,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,31810.59455,MALUKU UTARA,MANGOLI SELATAN,WAILAB,82,3,42,6,8203042006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,423,367,165,0,75,0,767,0,149,0,0.031811,1,767,0.031811,125.678848,-1.929874,798030,9786455
132,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,112344.244,MALUKU UTARA,TALIABU TIMUR,PARIGI,82,3,50,6,8203050006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,475,447,256,0,247,0,927,0,217,0,0.112344,1,927,0.112344,125.197811,-1.734613,744510,9808131
133,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,76324.8051,MALUKU UTARA,TALIABU TIMUR,PENU,82,3,50,7,8203050007,KEPULAUAN SULA,BADAN PUSAT STATISTIK,405,456,230,0,37,0,870,0.006098,164,1,0.076325,1,870,0.076325,125.108218,-1.700103,734543,9811959
134,50102,"EKSA ANUGRAH MANDIRI, PT.",SAMUYA,20070813,223531.1696,MALUKU UTARA,TALIABU TIMUR,SAMUYA,82,3,50,8,8203050008,KEPULAUAN SULA,BADAN PUSAT STATISTIK,567,488,247,0,108,0,1078,0.007491,267,2,0.223531,1,1078,0.223531,125.284628,-1.791008,754166,9801881
135,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,19073.2395,MALUKU UTARA,TALIABU TIMUR,TUBANG,82,3,50,9,8203050009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,356,314,64,0,5,0,667,0,171,0,0.019073,0.119787,80,0.159227,125.073945,-1.788824,730717,9802150
136,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,39608.64025,MALUKU UTARA,TALIABU TIMUR,TUBANG,82,3,50,9,8203050009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,356,314,64,0,5,0,667,0,171,0,0.039609,0.248756,166,0.159227,125.099186,-1.761648,733530,9805153
137,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,100544.9156,MALUKU UTARA,TALIABU TIMUR,TUBANG,82,3,50,9,8203050009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,356,314,64,0,5,0,667,0,171,0,0.100545,0.631457,421,0.159227,125.095929,-1.761269,733167,9805195
138,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,5536.85895,MALUKU UTARA,TALIABU TIMUR SELATAN,KABUNU,82,3,51,1,8203051001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,341,262,152,0,49,0,588,0.021739,138,3,0.005537,1,588,0.005537,124.895744,-1.925645,710869,9787040
139,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,76217.52328,MALUKU UTARA,TALIABU TIMUR SELATAN,SOFAN,82,3,51,2,8203051002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,459,453,200,0,92,0,910,0,223,0,0.076218,1,910,0.076218,124.945261,-1.926499,716379,9786940
140,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,142621.6671,MALUKU UTARA,TALIABU TIMUR SELATAN,KAWADANG,82,3,51,3,8203051003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,510,486,183,0,63,0,991,0.016304,184,3,0.142622,1,991,0.142622,124.989058,-1.930727,721252,9786466
141,50102,"EKSA ANUGRAH MANDIRI, PT.",LOSENG,20070813,158005.5497,MALUKU UTARA,TALIABU TIMUR SELATAN,LOSSENG,82,3,51,4,8203051004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,529,447,253,0,32,0,973,0,172,0,0.158006,0.539199,525,0.293038,125.016,-1.911728,724253,9788564
142,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,135032.0979,MALUKU UTARA,TALIABU TIMUR SELATAN,LOSSENG,82,3,51,4,8203051004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,529,447,253,0,32,0,973,0,172,0,0.135032,0.460801,448,0.293038,125.033305,-1.876174,726183,9792494
143,50102,"EKSA ANUGRAH MANDIRI, PT.",WAISULA,20070813,477386.4684,MALUKU UTARA,TALIABU TIMUR SELATAN,WAI KADAI,82,3,51,5,8203051005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,286,252,128,0,15,0,528,0,112,0,0.477386,1,528,0.477386,125.156954,-1.871689,739945,9792974
144,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,150142.7236,MALUKU UTARA,TALIABU TIMUR SELATAN,MANTARARA,82,3,51,6,8203051006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,156,121,71,0,24,0,276,0,60,0,0.150143,1,276,0.150143,125.081022,-1.885638,731492,9791441
145,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,47210.32879,MALUKU UTARA,TALIABU TIMUR SELATAN,BELO,82,3,51,7,8203051007,KEPULAUAN SULA,BADAN PUSAT STATISTIK,143,133,71,0,20,0,265,0,57,0,0.04721,1,265,0.04721,125.136235,-1.874405,737638,9792676
146,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,150377.3275,MALUKU UTARA,TALIABU TIMUR SELATAN,KAMAYA,82,3,51,8,8203051008,KEPULAUAN SULA,BADAN PUSAT STATISTIK,102,80,54,0,53,0,179,0,41,0,0.150377,1,179,0.150377,125.230109,-1.870348,748087,9793112
147,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,59522.28175,MALUKU UTARA,TALIABU TIMUR SELATAN,WAIKOKA,82,3,51,9,8203051009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,104,110,60,0,10,0,207,0,41,0,0.059522,1,207,0.059522,125.290572,-1.887931,754814,9791158
148,50102,"EKSA ANUGRAH MANDIRI, PT.",BOBONG,20070813,522609.9738,MALUKU UTARA,TALIABU BARAT,BOBONG,82,3,60,1,8203060001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,952,876,914,320,8,0.350109,1828,0.776961,408,317,0.52261,0.984834,1800,0.530658,124.384134,-1.946166,653946,9784826
149,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,5350.52025,MALUKU UTARA,TALIABU BARAT,BOBONG,82,3,60,1,8203060001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,952,876,914,320,8,0.350109,1828,0.776961,408,317,0.005351,0.010083,18,0.530658,124.381264,-1.9424,653627,9785243
150,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,2697.2164,MALUKU UTARA,TALIABU BARAT,BOBONG,82,3,60,1,8203060001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,952,876,914,320,8,0.350109,1828,0.776961,408,317,0.002697,0.005083,9,0.530658,124.38028,-1.941763,653518,9785313
151,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,233790.8945,MALUKU UTARA,TALIABU BARAT,KAWALO,82,3,60,4,8203060004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,739,705,360,0,280,0,1444,0,341,0,0.233791,0.94727,1368,0.246805,124.54392,-2.009094,671716,9777853
152,50102,"EKSA ANUGRAH MANDIRI, PT.",BUSA,20070813,13013.96955,MALUKU UTARA,TALIABU BARAT,KAWALO,82,3,60,4,8203060004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,739,705,360,0,280,0,1444,0,341,0,0.013014,0.05273,76,0.246805,124.562219,-1.951105,673757,9784263
153,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,19495.3319,MALUKU UTARA,TALIABU BARAT,TALLO,82,3,60,16,8203060016,KEPULAUAN SULA,BADAN PUSAT STATISTIK,291,271,87,0,15,0,562,0,124,0,0.019495,0.32065,180,0.060799,124.39746,-2.028819,655421,9775686
154,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,41304.05,MALUKU UTARA,TALIABU BARAT,TALLO,82,3,60,16,8203060016,KEPULAUAN SULA,BADAN PUSAT STATISTIK,291,271,87,0,15,0,562,0,124,0,0.041304,0.67935,382,0.060799,124.398429,-2.002381,655531,9778610
155,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,54524.15685,MALUKU UTARA,TALIABU BARAT LAUT,LIMBO,82,3,60,18,8203060018,KEPULAUAN SULA,BADAN PUSAT STATISTIK,817,859,378,0,70,0,1669,0.002755,363,1,0.054524,1,1669,0.054524,124.315619,-1.790492,646337,9802044
156,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,388500.8128,MALUKU UTARA,TALIABU BARAT,KARAMAT,82,3,60,21,8203060021,KEPULAUAN SULA,BADAN PUSAT STATISTIK,563,575,327,267,1,0.816514,1138,0.798611,288,230,0.388501,1,1138,0.388501,124.342524,-1.899325,649321,9790009
157,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,388500.8128,MALUKU UTARA,TALIABU BARAT,MARANTI JAYA,82,3,60,22,8203060022,KEPULAUAN SULA,BADAN PUSAT STATISTIK,148,127,69,54,0,0.782609,275,0.728571,70,51,0.388501,1,275,0.388501,124.344006,-1.905909,649486,9789281
